0,1,2,3,4,5,6,7,8,9
77.0,38.0,62.0,20.0,2.0,6.0,-32.0,-42.0,-65.0,-84.0
115.0,60.0,53.0,24.0,9.0,10.0,-24.0,-38.0,-62.0,-60.0
72.0,46.0,49.0,8.0,0.0,-2.0,-36.0,-54.0,-83.0,-72.0
69.0,42.0,51.0,12.0,-4.0,-2.0,-40.0,-62.0,-35.0,-82.0
89.0,50.0,59.0,22.0,7.0,10.0,-18.0,-28.0,-56.0,-80.0
39.0,46.0,52.0,16.0,-8.0,2.0,-23.0,-54.0,-76.0,-72.0
52.0,26.0,40.0,12.0,-9.0,-4.0,-43.0,-46.0,-45.0,-52.0
93.0,32.0,55.0,18.0,4.0,2.0,-18.0,-42.0,-42.0,-54.0
66.0,38.0,49.0,20.0,-7.0,-2.0,-25.0,-66.0,-63.0,-52.0
50.0,36.0,33.0,8.0,-10.0,-4.0,-34.0,-28.0,-57.0,-62.0
87.0,68.0,60.0,32.0,10.0,0.0,-31.0,-24.0,-41.0,-84.0
88.0,76.0,55.0,28.0,14.0,6.0,-26.0,-20.0,-37.0,-50.0
89.0,50.0,37.0,30.0,-5.0,2.0,-18.0,-46.0,-72.0,-66.0
101.0,76.0,41.0,18.0,1.0,0.0,-12.0,-40.0,-65.0,-78.0
57.0,42.0,47.0,20.0,-5.0,-6.0,-37.0,-32.0,-59.0,-68.0
87.0,36.0,44.0,18.0,1.0,0.0,-27.0,-58.0,-46.0,-38.0
75.0,34.0,50.0,24.0,7.0,-4.0,-6.0,-32.0,-36.0,-58.0
105.0,56.0,66.0,40.0,11.0,8.0,-10.0,-34.0,-43.0,-60.0
78.0,52.0,74.0,14.0,1.0,10.0,-25.0,-22.0,-41.0,-70.0
64.0,42.0,26.0,12.0,-8.0,-6.0,-39.0,-48.0,-51.0,-62.0
105.0,54.0,48.0,24.0,2.0,6.0,-16.0,-42.0,-31.0,-60.0
68.0,34.0,50.0,14.0,-1.0,6.0,-12.0,-46.0,-50.0,-34.0
53.0,26.0,43.0,4.0,-3.0,0.0,-26.0,-46.0,-67.0,-60.0
63.0,62.0,36.0,14.0,-9.0,-6.0,-30.0,-22.0,-38.0,-62.0
93.0,28.0,54.0,24.0,5.0,6.0,-10.0,-26.0,-58.0,-64.0
70.0,34.0,35.0,8.0,-14.0,-4.0,-38.0,-46.0,-56.0,-66.0
77.0,30.0,52.0,16.0,3.0,-4.0,-18.0,-38.0,-38.0,-64.0
71.0,34.0,19.0,10.0,-14.0,-4.0,-18.0,-34.0,-37.0,-64.0
50.0,26.0,28.0,10.0,-8.0,-4.0,-20.0,-42.0,-47.0,-58.0
81.0,60.0,51.0,18.0,0.0,4.0,-30.0,-42.0,-45.0,-58.0
108.0,78.0,84.0,38.0,9.0,8.0,-3.0,-24.0,-46.0,-30.0
52.0,46.0,34.0,10.0,-4.0,-6.0,-29.0,-22.0,-57.0,-36.0
101.0,38.0,66.0,18.0,10.0,10.0,-12.0,-32.0,-40.0,-52.0
110.0,48.0,69.0,32.0,3.0,10.0,-12.0,-22.0,-22.0,-44.0
81.0,84.0,60.0,22.0,6.0,2.0,-20.0,-22.0,-32.0,-62.0
49.0,42.0,37.0,18.0,-6.0,-20.0,-17.0,-44.0,-63.0,-78.0
72.0,44.0,63.0,24.0,12.0,-6.0,-18.0,-22.0,-30.0,-48.0
121.0,34.0,60.0,26.0,22.0,8.0,-12.0,-32.0,-36.0,-44.0
86.0,64.0,70.0,20.0,11.0,8.0,-7.0,-16.0,-38.0,-50.0
92.0,62.0,52.0,24.0,5.0,6.0,-17.0,-20.0,-30.0,-42.0
96.0,24.0,80.0,20.0,12.0,0.0,-11.0,-16.0,-33.0,-62.0
59.0,36.0,28.0,4.0,-13.0,4.0,-47.0,-56.0,-45.0,-34.0
63.0,48.0,37.0,6.0,-5.0,0.0,-23.0,-26.0,-22.0,-34.0
64.0,18.0,49.0,18.0,10.0,0.0,-31.0,-48.0,-21.0,-44.0
45.0,40.0,34.0,4.0,-21.0,-8.0,-23.0,-44.0,-72.0,-64.0
112.0,36.0,65.0,18.0,19.0,8.0,-5.0,-26.0,-23.0,-52.0
58.0,32.0,59.0,22.0,7.0,2.0,-28.0,-16.0,-65.0,-56.0
90.0,52.0,60.0,16.0,10.0,0.0,-12.0,-24.0,-36.0,-34.0
78.0,48.0,17.0,6.0,-5.0,0.0,-23.0,-16.0,-44.0,-50.0
82.0,36.0,55.0,30.0,2.0,6.0,-15.0,-8.0,-29.0,-32.0
132.0,52.0,89.0,22.0,18.0,18.0,-6.0,-10.0,-36.0,-58.0
81.0,36.0,53.0,8.0,2.0,0.0,-17.0,-42.0,-26.0,-50.0
51.0,22.0,30.0,14.0,-5.0,-10.0,-22.0,-26.0,-20.0,-30.0
67.0,36.0,25.0,12.0,-7.0,-18.0,-27.0,-26.0,-40.0,-66.0
81.0,28.0,25.0,10.0,-6.0,-6.0,-17.0,-22.0,-39.0,-46.0
102.0,30.0,9.0,26.0,9.0,2.0,-15.0,-30.0,-43.0,-52.0
