0,1,2,3,4,5,6,7,8,9
36.0,42.0,70.0,42.0,62.0,70.0,28.0,58.0,30.0,38.0
38.0,40.0,28.0,18.0,28.0,50.0,36.0,28.0,34.0,36.0
32.0,30.0,50.0,52.0,48.0,66.0,60.0,42.0,50.0,46.0
48.0,30.0,60.0,28.0,60.0,52.0,24.0,42.0,48.0,50.0
64.0,28.0,48.0,38.0,42.0,42.0,52.0,64.0,38.0,16.0
50.0,26.0,60.0,34.0,52.0,56.0,42.0,36.0,50.0,30.0
52.0,34.0,58.0,56.0,28.0,62.0,56.0,50.0,54.0,40.0
58.0,48.0,56.0,36.0,40.0,64.0,66.0,30.0,32.0,36.0
86.0,60.0,90.0,62.0,50.0,66.0,64.0,72.0,58.0,56.0
64.0,60.0,62.0,54.0,66.0,52.0,64.0,46.0,38.0,34.0
70.0,62.0,54.0,52.0,60.0,68.0,48.0,36.0,50.0,48.0
64.0,52.0,60.0,26.0,42.0,52.0,30.0,44.0,64.0,58.0
70.0,52.0,58.0,28.0,42.0,42.0,56.0,50.0,32.0,36.0
30.0,34.0,44.0,40.0,48.0,48.0,30.0,34.0,36.0,26.0
64.0,60.0,60.0,48.0,58.0,50.0,28.0,28.0,42.0,26.0
66.0,22.0,62.0,44.0,50.0,46.0,48.0,14.0,52.0,32.0
30.0,44.0,44.0,16.0,30.0,40.0,46.0,48.0,30.0,46.0
86.0,76.0,76.0,38.0,56.0,82.0,58.0,40.0,42.0,58.0
64.0,60.0,92.0,66.0,46.0,78.0,72.0,50.0,60.0,58.0
64.0,60.0,62.0,48.0,24.0,70.0,60.0,48.0,36.0,30.0
72.0,48.0,74.0,34.0,66.0,74.0,40.0,52.0,20.0,28.0
58.0,40.0,54.0,40.0,40.0,54.0,32.0,34.0,32.0,50.0
48.0,40.0,56.0,50.0,50.0,76.0,46.0,38.0,50.0,44.0
92.0,66.0,62.0,58.0,54.0,80.0,34.0,74.0,48.0,54.0
66.0,42.0,76.0,46.0,66.0,76.0,30.0,56.0,38.0,46.0
46.0,48.0,42.0,22.0,36.0,46.0,44.0,16.0,18.0,34.0
78.0,42.0,62.0,64.0,36.0,68.0,62.0,56.0,68.0,72.0
50.0,32.0,24.0,24.0,24.0,46.0,22.0,24.0,24.0,22.0
40.0,48.0,62.0,40.0,66.0,64.0,38.0,62.0,34.0,26.0
86.0,54.0,66.0,54.0,60.0,78.0,58.0,62.0,32.0,46.0
50.0,30.0,52.0,56.0,34.0,68.0,30.0,20.0,64.0,38.0
66.0,62.0,76.0,56.0,26.0,68.0,26.0,46.0,54.0,38.0
52.0,50.0,50.0,26.0,56.0,46.0,24.0,56.0,36.0,46.0
48.0,48.0,48.0,32.0,46.0,46.0,34.0,18.0,42.0,40.0
48.0,44.0,44.0,66.0,36.0,74.0,48.0,22.0,32.0,58.0
78.0,36.0,82.0,46.0,76.0,82.0,60.0,80.0,28.0,70.0
46.0,50.0,54.0,34.0,38.0,44.0,26.0,28.0,44.0,42.0
32.0,40.0,32.0,28.0,44.0,26.0,14.0,32.0,22.0,18.0
92.0,80.0,58.0,86.0,48.0,88.0,44.0,60.0,56.0,26.0
80.0,36.0,38.0,70.0,34.0,70.0,48.0,48.0,60.0,28.0
46.0,32.0,78.0,52.0,44.0,72.0,50.0,50.0,52.0,28.0
76.0,46.0,66.0,72.0,72.0,70.0,52.0,28.0,52.0,36.0
74.0,40.0,80.0,64.0,40.0,78.0,34.0,40.0,68.0,42.0
46.0,30.0,68.0,36.0,16.0,56.0,58.0,24.0,50.0,28.0
54.0,48.0,54.0,22.0,34.0,44.0,26.0,34.0,26.0,20.0
24.0,12.0,34.0,40.0,22.0,40.0,24.0,20.0,18.0,22.0
46.0,12.0,34.0,20.0,38.0,52.0,20.0,12.0,14.0,30.0
70.0,48.0,68.0,24.0,18.0,48.0,22.0,18.0,24.0,54.0
76.0,48.0,56.0,36.0,68.0,46.0,46.0,50.0,66.0,62.0
34.0,12.0,40.0,18.0,42.0,30.0,30.0,26.0,22.0,44.0
72.0,38.0,48.0,46.0,64.0,72.0,40.0,18.0,74.0,46.0
80.0,20.0,66.0,40.0,40.0,66.0,60.0,30.0,60.0,74.0
100.0,76.0,80.0,36.0,90.0,100.0,54.0,54.0,62.0,78.0
38.0,42.0,52.0,32.0,20.0,30.0,38.0,56.0,22.0,24.0
26.0,24.0,20.0,6.0,6.0,8.0,24.0,22.0,20.0,6.0
46.0,14.0,18.0,28.0,18.0,24.0,38.0,28.0,30.0,14.0
8.0,10.0,18.0,12.0,10.0,16.0,6.0,14.0,10.0,8.0
40.0,38.0,64.0,64.0,40.0,60.0,48.0,46.0,12.0,48.0
26.0,34.0,56.0,68.0,34.0,68.0,26.0,50.0,22.0,48.0
34.0,24.0,54.0,40.0,26.0,24.0,52.0,30.0,22.0,26.0
32.0,28.0,58.0,58.0,26.0,50.0,60.0,44.0,20.0,16.0
16.0,10.0,30.0,28.0,14.0,28.0,32.0,18.0,16.0,2.0
30.0,58.0,62.0,40.0,18.0,62.0,44.0,20.0,26.0,36.0
36.0,58.0,78.0,34.0,22.0,70.0,54.0,32.0,28.0,50.0
78.0,38.0,108.0,34.0,42.0,112.0,40.0,52.0,74.0,90.0
