q_learning,tit_for_tat,accumulate_credits,detective,grudger
3.8,8.1,3.9,9.75,0.0
3.8,8.1,3.9,9.75,0.0
3.8,8.1,3.9,9.75,0.0
3.8,8.1,3.9,9.75,0.0
3.8,8.1,3.9,9.75,0.0
4.45,11.4,9.85,0.0,8.9
4.45,11.4,9.85,0.0,8.9
4.45,11.4,9.85,0.0,8.9
4.45,11.4,9.85,0.0,8.9
4.45,11.4,9.85,0.0,8.9
4.6,0.0,0.0,13.35,7.55
4.6,0.0,0.0,13.35,7.55
4.6,0.0,0.0,13.35,7.55
4.6,0.0,0.0,13.35,7.55
4.6,0.0,0.0,13.35,7.55
3.65,0.0,0.0,0.0,0.0
3.65,0.0,0.0,0.0,0.0
3.65,0.0,0.0,0.0,0.0
3.65,0.0,0.0,0.0,0.0
3.65,0.0,0.0,0.0,0.0
5.8,11.1,0.0,6.9,0.0
5.8,11.1,0.0,6.9,0.0
5.8,11.1,0.0,6.9,0.0
5.8,11.1,0.0,6.9,0.0
5.8,11.1,0.0,6.9,0.0
4.55,13.4,13.5,12.0,9.0
4.55,13.4,13.5,12.0,9.0
4.55,13.4,13.5,12.0,9.0
4.55,13.4,13.5,12.0,9.0
4.55,13.4,13.5,12.0,9.0
4.75,9.75,0.0,3.05,13.5
4.75,9.75,0.0,3.05,13.5
4.75,9.75,0.0,3.05,13.5
4.75,9.75,0.0,3.05,13.5
4.75,9.75,0.0,3.05,13.5
6.3,0.0,0.0,12.0,9.05
6.3,0.0,0.0,12.0,9.05
6.3,0.0,0.0,12.0,9.05
6.3,0.0,0.0,12.0,9.05
6.3,0.0,0.0,12.0,9.05
5.65,2.3,0.0,0.0,0.0
5.65,2.3,0.0,0.0,0.0
5.65,2.3,0.0,0.0,0.0
5.65,2.3,0.0,0.0,0.0
5.65,2.3,0.0,0.0,0.0
4.85,13.4,0.0,0.0,0.0
4.85,13.4,0.0,0.0,0.0
4.85,13.4,0.0,0.0,0.0
4.85,13.4,0.0,0.0,0.0
4.85,13.4,0.0,0.0,0.0
4.25,5.7,0.0,0.0,1.5
4.25,5.7,0.0,0.0,1.5
4.25,5.7,0.0,0.0,1.5
4.25,5.7,0.0,0.0,1.5
4.25,5.7,0.0,0.0,1.5
5.3,13.6,0.0,0.0,4.4
5.3,13.6,0.0,0.0,4.4
5.3,13.6,0.0,0.0,4.4
5.3,13.6,0.0,0.0,4.4
5.3,13.6,0.0,0.0,4.4
6.6,9.0,0.0,0.0,0.0
6.6,9.0,0.0,0.0,0.0
6.6,9.0,0.0,0.0,0.0
6.6,9.0,0.0,0.0,0.0
6.6,9.0,0.0,0.0,0.0
4.55,2.4,6.0,12.0,0.0
