0,1,2,3,4,5,6,7,8,9
66.0,48.0,72.0,58.0,64.0,68.0,46.0,54.0,40.0,64.0
70.0,48.0,58.0,38.0,36.0,66.0,24.0,42.0,52.0,62.0
76.0,38.0,72.0,70.0,58.0,86.0,48.0,52.0,48.0,60.0
66.0,52.0,74.0,52.0,52.0,74.0,48.0,58.0,38.0,50.0
70.0,70.0,94.0,82.0,66.0,66.0,68.0,60.0,56.0,48.0
80.0,38.0,74.0,62.0,58.0,60.0,62.0,72.0,62.0,46.0
80.0,46.0,78.0,46.0,66.0,74.0,42.0,62.0,62.0,58.0
50.0,54.0,70.0,50.0,44.0,62.0,46.0,24.0,56.0,24.0
74.0,84.0,62.0,46.0,34.0,72.0,50.0,50.0,44.0,48.0
66.0,56.0,60.0,64.0,54.0,68.0,62.0,44.0,32.0,46.0
58.0,56.0,62.0,38.0,40.0,52.0,60.0,58.0,44.0,52.0
68.0,62.0,78.0,60.0,68.0,84.0,62.0,52.0,60.0,38.0
78.0,64.0,62.0,50.0,70.0,72.0,70.0,52.0,58.0,50.0
58.0,40.0,66.0,56.0,38.0,44.0,44.0,52.0,42.0,42.0
56.0,56.0,60.0,58.0,56.0,60.0,50.0,60.0,50.0,38.0
78.0,56.0,76.0,60.0,48.0,78.0,74.0,64.0,64.0,56.0
56.0,54.0,76.0,68.0,56.0,80.0,66.0,30.0,72.0,52.0
88.0,64.0,88.0,62.0,60.0,76.0,48.0,50.0,50.0,58.0
92.0,88.0,92.0,68.0,76.0,106.0,50.0,74.0,52.0,72.0
86.0,82.0,96.0,76.0,58.0,94.0,48.0,62.0,62.0,64.0
60.0,66.0,82.0,68.0,54.0,84.0,66.0,52.0,62.0,54.0
66.0,50.0,66.0,52.0,64.0,82.0,54.0,50.0,42.0,58.0
88.0,64.0,90.0,64.0,58.0,104.0,74.0,54.0,78.0,82.0
68.0,56.0,76.0,74.0,60.0,68.0,56.0,54.0,44.0,62.0
56.0,54.0,54.0,60.0,54.0,64.0,58.0,54.0,58.0,50.0
94.0,64.0,76.0,48.0,78.0,74.0,78.0,64.0,76.0,74.0
70.0,56.0,74.0,60.0,48.0,70.0,72.0,68.0,54.0,48.0
80.0,68.0,90.0,66.0,68.0,82.0,72.0,60.0,48.0,60.0
94.0,62.0,88.0,54.0,84.0,98.0,80.0,66.0,76.0,76.0
118.0,88.0,112.0,76.0,76.0,98.0,76.0,74.0,82.0,88.0
104.0,78.0,82.0,58.0,94.0,84.0,68.0,72.0,88.0,68.0
96.0,78.0,84.0,76.0,76.0,100.0,78.0,62.0,70.0,86.0
74.0,54.0,76.0,60.0,48.0,80.0,50.0,84.0,82.0,84.0
84.0,60.0,86.0,66.0,76.0,82.0,76.0,64.0,74.0,62.0
96.0,100.0,110.0,82.0,86.0,98.0,90.0,78.0,86.0,68.0
114.0,84.0,108.0,88.0,78.0,116.0,74.0,88.0,80.0,72.0
96.0,72.0,102.0,82.0,62.0,96.0,94.0,76.0,84.0,68.0
110.0,94.0,106.0,96.0,66.0,112.0,120.0,70.0,104.0,98.0
90.0,96.0,96.0,74.0,80.0,84.0,76.0,74.0,90.0,70.0
120.0,74.0,102.0,78.0,86.0,106.0,88.0,86.0,92.0,96.0
88.0,78.0,74.0,92.0,52.0,66.0,68.0,90.0,54.0,58.0
84.0,72.0,96.0,68.0,84.0,96.0,82.0,84.0,80.0,92.0
86.0,86.0,118.0,84.0,86.0,94.0,110.0,90.0,84.0,80.0
84.0,62.0,94.0,84.0,64.0,86.0,70.0,80.0,80.0,84.0
84.0,82.0,82.0,78.0,82.0,88.0,70.0,54.0,64.0,86.0
88.0,90.0,106.0,94.0,94.0,114.0,102.0,96.0,108.0,80.0
122.0,88.0,106.0,90.0,84.0,122.0,88.0,110.0,92.0,96.0
