0,1,2,3,4,5,6,7,8,9
76.0,32.0,66.0,36.0,46.0,66.0,42.0,50.0,44.0,44.0
58.0,42.0,60.0,34.0,34.0,62.0,46.0,48.0,40.0,36.0
60.0,34.0,76.0,52.0,34.0,52.0,50.0,48.0,56.0,62.0
52.0,46.0,74.0,62.0,48.0,62.0,48.0,54.0,62.0,60.0
70.0,60.0,64.0,58.0,24.0,54.0,50.0,42.0,66.0,34.0
36.0,38.0,56.0,48.0,52.0,70.0,54.0,42.0,48.0,46.0
54.0,40.0,56.0,34.0,62.0,46.0,60.0,36.0,42.0,46.0
62.0,62.0,70.0,64.0,42.0,58.0,52.0,36.0,62.0,44.0
72.0,44.0,72.0,48.0,58.0,60.0,60.0,50.0,56.0,70.0
68.0,70.0,62.0,48.0,64.0,76.0,68.0,52.0,58.0,56.0
60.0,52.0,54.0,46.0,36.0,74.0,36.0,62.0,52.0,52.0
66.0,48.0,68.0,52.0,52.0,56.0,46.0,46.0,48.0,38.0
86.0,70.0,64.0,74.0,50.0,82.0,70.0,32.0,44.0,60.0
70.0,58.0,78.0,76.0,36.0,64.0,60.0,48.0,60.0,54.0
72.0,48.0,50.0,42.0,54.0,62.0,54.0,36.0,56.0,52.0
84.0,76.0,98.0,58.0,56.0,84.0,50.0,82.0,64.0,44.0
76.0,52.0,76.0,64.0,48.0,90.0,68.0,52.0,70.0,58.0
68.0,46.0,70.0,74.0,56.0,66.0,38.0,54.0,54.0,52.0
88.0,52.0,72.0,54.0,60.0,68.0,70.0,60.0,46.0,62.0
84.0,66.0,82.0,62.0,44.0,50.0,48.0,58.0,72.0,58.0
68.0,52.0,70.0,66.0,40.0,78.0,54.0,60.0,46.0,72.0
66.0,64.0,82.0,62.0,66.0,68.0,56.0,58.0,56.0,56.0
62.0,56.0,74.0,74.0,60.0,58.0,48.0,56.0,48.0,36.0
84.0,62.0,82.0,66.0,70.0,82.0,70.0,56.0,68.0,64.0
80.0,54.0,60.0,76.0,76.0,78.0,56.0,68.0,62.0,56.0
88.0,82.0,80.0,76.0,92.0,88.0,66.0,66.0,68.0,82.0
74.0,68.0,90.0,74.0,60.0,76.0,82.0,82.0,80.0,72.0
70.0,54.0,60.0,56.0,66.0,66.0,68.0,68.0,60.0,58.0
102.0,84.0,106.0,48.0,72.0,84.0,72.0,100.0,72.0,74.0
70.0,62.0,88.0,56.0,84.0,90.0,72.0,62.0,44.0,74.0
102.0,54.0,86.0,64.0,86.0,92.0,74.0,80.0,76.0,90.0
80.0,54.0,86.0,58.0,90.0,76.0,72.0,74.0,90.0,74.0
82.0,72.0,70.0,38.0,72.0,86.0,76.0,70.0,68.0,64.0
84.0,66.0,80.0,82.0,50.0,90.0,78.0,72.0,90.0,64.0
88.0,78.0,86.0,64.0,58.0,68.0,60.0,90.0,48.0,58.0
94.0,58.0,92.0,64.0,84.0,84.0,94.0,78.0,92.0,70.0
90.0,78.0,86.0,92.0,94.0,88.0,68.0,72.0,70.0,70.0
98.0,78.0,88.0,88.0,92.0,92.0,86.0,94.0,88.0,76.0
98.0,88.0,90.0,68.0,70.0,94.0,84.0,76.0,78.0,70.0
98.0,52.0,76.0,84.0,54.0,76.0,70.0,52.0,76.0,80.0
94.0,74.0,72.0,66.0,74.0,80.0,66.0,78.0,62.0,82.0
102.0,74.0,108.0,62.0,64.0,102.0,70.0,92.0,100.0,84.0
82.0,70.0,86.0,56.0,54.0,106.0,92.0,90.0,76.0,68.0
