0,1,2,3,4,5,6,7,8,9
50.0,36.0,68.0,46.0,44.0,74.0,60.0,38.0,64.0,60.0
50.0,60.0,80.0,46.0,58.0,76.0,26.0,52.0,50.0,42.0
36.0,36.0,38.0,22.0,42.0,38.0,30.0,36.0,32.0,34.0
80.0,38.0,86.0,48.0,50.0,70.0,60.0,58.0,52.0,58.0
64.0,58.0,64.0,36.0,34.0,54.0,38.0,46.0,58.0,46.0
52.0,36.0,62.0,44.0,44.0,64.0,36.0,38.0,64.0,54.0
78.0,48.0,62.0,78.0,48.0,78.0,60.0,62.0,46.0,46.0
64.0,44.0,48.0,46.0,52.0,58.0,48.0,38.0,48.0,28.0
68.0,50.0,68.0,68.0,62.0,52.0,52.0,54.0,38.0,44.0
76.0,62.0,88.0,70.0,54.0,64.0,52.0,68.0,32.0,54.0
68.0,38.0,70.0,54.0,46.0,70.0,46.0,58.0,70.0,52.0
72.0,32.0,64.0,50.0,68.0,56.0,58.0,66.0,38.0,52.0
78.0,78.0,68.0,54.0,56.0,78.0,64.0,84.0,66.0,68.0
64.0,52.0,84.0,64.0,72.0,74.0,72.0,64.0,82.0,66.0
84.0,74.0,68.0,68.0,58.0,60.0,56.0,54.0,56.0,62.0
78.0,74.0,84.0,56.0,68.0,52.0,52.0,54.0,44.0,48.0
80.0,60.0,78.0,64.0,70.0,72.0,58.0,48.0,68.0,74.0
106.0,46.0,96.0,70.0,66.0,110.0,78.0,80.0,70.0,56.0
72.0,70.0,70.0,68.0,28.0,76.0,44.0,66.0,62.0,72.0
70.0,52.0,76.0,54.0,58.0,78.0,52.0,52.0,42.0,46.0
80.0,66.0,60.0,64.0,80.0,74.0,78.0,64.0,86.0,66.0
86.0,48.0,72.0,54.0,62.0,80.0,52.0,72.0,62.0,54.0
94.0,64.0,84.0,56.0,68.0,90.0,74.0,66.0,42.0,82.0
74.0,56.0,82.0,68.0,60.0,70.0,68.0,32.0,50.0,72.0
68.0,62.0,62.0,64.0,62.0,72.0,58.0,68.0,58.0,48.0
104.0,50.0,92.0,92.0,72.0,92.0,84.0,52.0,82.0,78.0
