0,1,2,3,4,5,6,7,8,9
70.0,56.0,74.0,60.0,50.0,78.0,36.0,48.0,64.0,50.0
68.0,22.0,54.0,50.0,28.0,50.0,48.0,46.0,46.0,42.0
72.0,44.0,68.0,44.0,36.0,78.0,40.0,64.0,60.0,52.0
78.0,72.0,70.0,64.0,48.0,74.0,60.0,72.0,58.0,58.0
64.0,46.0,60.0,52.0,68.0,50.0,40.0,44.0,44.0,36.0
48.0,50.0,54.0,50.0,38.0,60.0,50.0,52.0,50.0,30.0
60.0,44.0,58.0,52.0,44.0,60.0,40.0,68.0,48.0,50.0
64.0,64.0,74.0,52.0,48.0,54.0,54.0,68.0,54.0,46.0
74.0,54.0,62.0,48.0,60.0,74.0,72.0,66.0,52.0,64.0
72.0,68.0,66.0,64.0,62.0,70.0,50.0,52.0,68.0,52.0
50.0,32.0,58.0,52.0,54.0,54.0,50.0,42.0,56.0,42.0
50.0,24.0,44.0,48.0,52.0,58.0,44.0,40.0,54.0,44.0
76.0,64.0,84.0,52.0,52.0,74.0,54.0,56.0,66.0,62.0
84.0,62.0,70.0,58.0,76.0,90.0,66.0,52.0,58.0,50.0
78.0,64.0,68.0,74.0,64.0,80.0,70.0,68.0,68.0,56.0
66.0,58.0,62.0,34.0,62.0,46.0,54.0,64.0,54.0,44.0
82.0,38.0,80.0,52.0,68.0,104.0,72.0,44.0,56.0,48.0
58.0,78.0,74.0,60.0,52.0,62.0,48.0,50.0,54.0,70.0
76.0,82.0,80.0,48.0,82.0,80.0,50.0,64.0,56.0,58.0
78.0,76.0,74.0,56.0,60.0,78.0,64.0,52.0,44.0,84.0
70.0,56.0,80.0,50.0,70.0,84.0,64.0,58.0,76.0,70.0
76.0,62.0,72.0,70.0,54.0,72.0,74.0,62.0,84.0,48.0
96.0,62.0,98.0,76.0,68.0,72.0,68.0,60.0,70.0,68.0
90.0,82.0,68.0,74.0,86.0,78.0,88.0,76.0,68.0,64.0
104.0,76.0,92.0,94.0,64.0,82.0,68.0,54.0,94.0,76.0
90.0,54.0,54.0,62.0,68.0,78.0,54.0,68.0,60.0,56.0
88.0,70.0,76.0,80.0,66.0,66.0,62.0,52.0,66.0,66.0
78.0,64.0,62.0,68.0,52.0,54.0,60.0,50.0,58.0,38.0
98.0,66.0,88.0,78.0,58.0,84.0,60.0,84.0,40.0,62.0
86.0,78.0,84.0,78.0,68.0,94.0,94.0,72.0,62.0,88.0
