0,1,2,3,4,5,6,7,8,9
46.0,46.0,48.0,38.0,42.0,52.0,44.0,36.0,36.0,38.0
62.0,34.0,38.0,48.0,44.0,66.0,64.0,34.0,46.0,44.0
32.0,26.0,54.0,34.0,46.0,44.0,44.0,28.0,24.0,30.0
72.0,50.0,60.0,40.0,38.0,64.0,48.0,70.0,44.0,36.0
54.0,50.0,40.0,26.0,42.0,58.0,46.0,50.0,32.0,40.0
64.0,50.0,44.0,52.0,48.0,66.0,38.0,44.0,38.0,42.0
64.0,66.0,62.0,46.0,46.0,78.0,34.0,42.0,34.0,50.0
54.0,26.0,26.0,44.0,36.0,22.0,28.0,42.0,40.0,30.0
72.0,68.0,58.0,46.0,48.0,46.0,42.0,44.0,62.0,46.0
58.0,48.0,56.0,54.0,38.0,64.0,26.0,44.0,40.0,38.0
64.0,46.0,38.0,42.0,40.0,52.0,38.0,32.0,42.0,40.0
62.0,66.0,62.0,54.0,62.0,66.0,42.0,46.0,52.0,28.0
46.0,44.0,46.0,44.0,52.0,46.0,52.0,26.0,38.0,38.0
54.0,52.0,56.0,14.0,36.0,48.0,44.0,28.0,38.0,54.0
66.0,42.0,48.0,52.0,12.0,50.0,54.0,40.0,68.0,40.0
66.0,58.0,78.0,58.0,64.0,50.0,32.0,44.0,72.0,64.0
54.0,50.0,66.0,40.0,40.0,64.0,58.0,46.0,50.0,40.0
84.0,66.0,72.0,46.0,42.0,72.0,48.0,74.0,62.0,50.0
60.0,36.0,68.0,46.0,56.0,62.0,30.0,34.0,60.0,60.0
66.0,52.0,60.0,30.0,58.0,68.0,30.0,42.0,26.0,66.0
82.0,60.0,88.0,62.0,40.0,74.0,60.0,40.0,38.0,66.0
80.0,68.0,78.0,62.0,74.0,60.0,44.0,46.0,38.0,58.0
48.0,56.0,52.0,52.0,44.0,74.0,54.0,46.0,46.0,60.0
30.0,38.0,56.0,36.0,30.0,44.0,14.0,50.0,36.0,32.0
72.0,56.0,74.0,42.0,50.0,40.0,34.0,42.0,44.0,40.0
46.0,38.0,36.0,50.0,20.0,70.0,36.0,30.0,58.0,38.0
74.0,22.0,58.0,38.0,50.0,62.0,56.0,60.0,52.0,54.0
50.0,26.0,34.0,22.0,42.0,22.0,38.0,36.0,24.0,38.0
56.0,46.0,54.0,26.0,52.0,46.0,36.0,50.0,56.0,58.0
68.0,68.0,48.0,34.0,72.0,70.0,58.0,38.0,34.0,64.0
62.0,66.0,48.0,54.0,66.0,64.0,54.0,64.0,46.0,60.0
62.0,38.0,72.0,42.0,26.0,48.0,46.0,50.0,56.0,52.0
